Rank,Previous Rank,Player,Position,Team,Price,Shirt points,Shirt count,Sprint points,Sprint count,Climb points,Climb count,Placement points,Placement count,Bought,Sold,Points
1,1,Julian Alaphilippe,climber,Deceuninck - Quick Step,8.2,0.00,1,0.00,0,18.00,1,441.00,5,3747,450,519.00
2,2,Benoît Cosnefroy,youth,AG2R La Mondiale,6,0.00,1,36.00,1,252.00,5,20.00,4,5074,1234,488.00
3,3,Marc Hirschi,youth,Team Sunweb,6.9,0.00,1,0.00,0,24.00,1,352.00,5,1727,482,456.00
4,4,Mads Pedersen,youth,Trek - Segafredo,6.8,0.00,1,0.00,0,0.00,0,340.00,4,4548,2088,420.00
5,5,Sam Bennett,sprinter,Deceuninck - Quick Step,11.5,0.00,0,70.00,4,0.00,0,264.00,4,1764,1839,354.00
6,6,Tadej Pogačar,captain,UAE Team Emirates,9.9,0.00,1,0.00,0,48.00,1,234.00,4,3556,1356,342.00
7,7,Deceuninck - Quick Step,manager,Deceuninck - Quick Step,11,0.00,0,0.00,0,0.00,0,320.00,4,3306,1362,320.00
8,8,Alexander Kristoff,sprinter,UAE Team Emirates,8,0.00,1,56.00,4,0.00,0,220.00,4,3972,1670,316.00
8,8,Anthony Perez,support,Cofidis -  Solutions Crédits,3.5,0.00,0,40.00,1,264.00,4,12.00,2,1866,1815,316.00
10,10,Peter Sagan,sprinter,BORA - Hansgrohe,11,0.00,1,102.00,4,0.00,0,164.00,4,3514,3503,306.00
11,11,Primož Roglič,captain,Team Jumbo - Visma,11.5,0.00,0,0.00,0,60.00,1,216.00,4,2901,2521,276.00
12,12,UAE Team Emirates,manager,UAE Team Emirates,8.3,0.00,0,0.00,0,0.00,0,260.00,2,1497,678,260.00
13,13,Jérôme Cousin,support,Team Total Direct Energie,3.5,0.00,0,80.00,1,36.00,2,16.00,4,1466,189,232.00
14,14,Michael Schar,support,CCC Team,4.3,0.00,0,80.00,1,24.00,1,24.00,4,1783,410,228.00
15,15,Giacomo Nizzolo,sprinter,NTT Pro Cycling,8.8,0.00,0,38.00,3,0.00,0,188.00,4,3025,1868,226.00
16,16,Greg Van Avermaet,support,CCC Team,7.5,0.00,0,0.00,0,0.00,0,224.00,4,2509,1505,224.00
17,17,Hugo Hofstetter,support,Israel Start-Up Nation,5.6,0.00,0,0.00,0,0.00,0,216.00,4,703,380,216.00
17,17,Michael Gogl,support,NTT Pro Cycling,4,0.00,0,52.00,1,144.00,2,20.00,4,1602,285,216.00
19,19,Caleb Ewan,sprinter,Lotto Soudal,11.5,0.00,0,0.00,0,0.00,0,212.00,4,2209,3494,212.00
20,20,Sergio Higuita,youth,EF Pro Cycling,7.6,0.00,0,0.00,0,0.00,0,208.00,4,2857,1137,208.00
21,21,Guillaume Martin,captain,Cofidis -  Solutions Crédits,9.4,0.00,0,0.00,0,36.00,1,166.00,4,839,736,202.00
22,22,Krists Neilands,support,Israel Start-Up Nation,3.9,0.00,0,40.00,1,24.00,1,28.00,4,165,98,192.00
23,23,Cees Bol,sprinter,Team Sunweb,8.3,0.00,0,0.00,0,0.00,0,188.00,4,816,478,188.00
24,24,Fabien Grellier,support,Team Total Direct Energie,3.5,0.00,1,60.00,1,24.00,1,20.00,4,1049,519,184.00
25,25,Adam Yates,captain,Mitchelton - Scott,10,0.00,0,0.00,0,0.00,0,182.00,5,2617,724,182.00
25,25,Matteo Trentin,sprinter,CCC Team,8,0.00,0,92.00,4,0.00,0,90.00,4,4090,2812,182.00
27,27,Kasper Asgreen,youth,Deceuninck - Quick Step,6,0.00,0,44.00,1,72.00,2,24.00,4,2362,3542,180.00
27,27,Edward Theuns,support,Trek - Segafredo,5.5,0.00,0,12.00,1,0.00,0,168.00,4,650,586,180.00
29,29,Alexey Lutsenko,support,Astana Pro Team,6.9,0.00,0,0.00,0,0.00,0,164.00,4,1341,674,164.00
